City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,santa elena de uairen,4.6167,-61.1333,21.78,88,70,1.81,VE,1687818237
264,plymouth,41.8334,-70.8328,26.74,80,100,4.12,US,1687817944
265,sanluri,39.5611,8.8994,24.18,95,2,2.36,IT,1687818238
266,huarmey,-10.0681,-78.1522,22.39,76,10,4.75,PE,1687818238
267,prado,-17.3411,-39.2208,21.85,81,65,2.19,BR,1687818238
268,minas de marcona,-15.2119,-75.1103,15.18,74,3,6.55,PE,1687818238
269,igarka,67.4667,86.5833,9.12,79,31,2.71,RU,1687818238
270,acapulco de juarez,16.8634,-99.8901,30.9,66,75,3.09,MX,1687818137
271,nigde,37.8333,34.75,17.29,49,29,0.83,TR,1687818238
272,tallinn,59.437,24.7535,16.19,92,0,1.54,EE,1687818024
273,manakara,-22.1333,48.0167,15.89,94,17,1.72,MG,1687818239
274,kerikeri,-35.2268,173.9474,12.17,90,79,2.78,NZ,1687818094
275,selfoss,63.9331,-20.9971,11.14,87,25,4.13,IS,1687818239
276,koungou,-12.7336,45.2042,24.84,73,0,3.6,YT,1687818239
277,kyosai,34.8503,128.5886,23.98,98,100,5.78,KR,1687818239
278,ambon,-3.6954,128.1814,29.57,91,40,3.6,ID,1687818239
279,deqen,29.9618,90.7188,12.44,74,100,1.38,CN,1687818239
280,tura,25.5198,90.2201,23.7,96,93,2.7,IN,1687818240
281,portland,45.5234,-122.6762,28.33,46,20,3.6,US,1687818210
282,isoka,-10.1606,32.6335,11.27,69,23,0.96,ZM,1687818240
283,berber,18.0216,33.983,33.37,12,36,6.55,SD,1687818240
284,kirakira,-10.4544,161.9205,25.75,72,99,4.28,SB,1687818240
285,taulaga,-11.0553,-171.0883,28.43,74,52,6.66,AS,1687818240
286,usogorsk,63.4106,48.6872,12.04,77,27,2.0,RU,1687817956
287,energetik,51.7445,58.7934,11.09,85,86,5.43,RU,1687818241
288,novodvinsk,64.4165,40.8122,13.69,73,45,1.36,RU,1687818241
289,novyye burasy,52.1324,46.0714,13.02,64,100,2.43,RU,1687818241
290,carutapera,-1.195,-46.02,23.95,94,11,3.08,BR,1687818241
291,horsham,51.064,-0.3272,17.84,63,0,2.57,GB,1687818242
292,funafuti,-8.5243,179.1942,28.84,72,85,6.26,TV,1687818242
293,tiznit,29.5833,-9.5,32.61,15,31,1.82,MA,1687818242
294,lakhipur,26.0299,90.3041,25.75,92,82,1.01,IN,1687818243
295,lihue,21.9789,-159.3672,28.77,71,20,7.2,US,1687818046
296,usinsk,65.9939,57.5281,7.12,83,34,4.28,RU,1687818243
297,howrah,22.5892,88.3103,26.0,100,75,4.12,IN,1687818243
298,conde,-7.2597,-34.9075,23.7,100,75,3.09,BR,1687818077
299,purpe,64.4803,76.6897,10.66,72,100,2.84,RU,1687818243
300,san ignacio,17.1561,-89.0714,34.08,43,75,3.09,BZ,1687818244
301,cao bang,22.6667,106.25,23.18,99,88,1.15,VN,1687818244
302,taltal,-25.4,-70.4833,17.4,76,23,1.88,CL,1687818020
303,collie,-33.3667,116.15,3.1,92,6,0.58,AU,1687818244
304,bubaque,11.2833,-15.8333,27.49,80,100,5.5,GW,1687818244
305,cole harbour,44.6724,-63.4751,13.66,94,100,10.29,CA,1687818245
306,leshan,29.5623,103.7639,23.5,96,99,0.96,CN,1687818245
307,ziway,7.9333,38.7167,18.85,79,87,5.47,ET,1687818245
308,ispica,36.7844,14.9063,21.35,74,0,0.4,IT,1687818245
309,lodwar,3.1191,35.5973,29.58,40,37,3.94,KE,1687818245
310,kyaikkami,16.08,97.5675,25.73,84,98,0.93,MM,1687818245
311,chrzanow,50.1355,19.402,20.03,71,44,1.96,PL,1687818246
312,ad darb,17.7229,42.2526,32.34,61,62,1.26,SA,1687818246
313,mount gambier,-37.8333,140.7667,7.75,97,98,2.66,AU,1687818246
314,kenai,60.5544,-151.2583,14.46,71,100,3.6,US,1687818246
315,mar del plata,-38.0023,-57.5575,12.75,61,0,1.34,AR,1687818048
316,ocean city,39.2776,-74.5746,26.68,84,100,4.02,US,1687818246
317,thohoyandou,-22.9456,30.485,13.15,36,0,0.72,ZA,1687818247
318,rimouski,48.4488,-68.524,21.1,60,84,5.9,CA,1687818247
319,saint-pierre,-21.3393,55.4781,17.82,63,0,4.12,RE,1687818247
320,la passe,45.5549,-0.8967,19.43,74,44,4.67,FR,1687818247
321,nabire,-3.3667,135.4833,24.8,93,84,1.54,ID,1687818247
322,meadow lake,34.8014,-106.5436,34.85,17,36,12.73,US,1687818248
323,tidjikja,18.5564,-11.4271,35.45,8,22,4.76,MR,1687818248
324,santarem,-2.4431,-54.7083,27.07,89,20,1.54,BR,1687818156
325,kourou,5.1552,-52.6478,26.03,91,85,3.65,GF,1687818248
326,san patricio,28.017,-97.5169,36.05,47,0,8.61,US,1687818248
327,burang,30.25,81.1667,8.13,85,82,2.0,CN,1687818248
328,kavieng,-2.5744,150.7967,28.42,74,100,1.78,PG,1687818248
329,jiwani,25.05,61.7417,29.5,75,43,4.06,PK,1687818249
330,franceville,-1.6333,13.5836,24.51,75,97,1.4,GA,1687818249
331,ha tinh,18.3333,105.9,24.87,93,98,1.1,VN,1687818249
332,narsinghgarh,23.7,77.1,25.13,85,100,5.68,IN,1687818249
333,yamada,39.4667,141.95,21.39,85,100,3.32,JP,1687818249
334,carbonear,47.7332,-53.2148,10.89,75,0,3.07,CA,1687818249
335,pisco,-13.7,-76.2167,21.03,68,0,6.69,PE,1687818249
